sample_id,split,label_up,forward_return,contract,anchor_ts,left_minus_right,right_minus_left,top_minus_mid_price,mid_minus_top_price,price_minus_volume,volume_minus_price,recent_price_minus_early_price,early_price_minus_recent_price,stripe1_minus_stripe4,stripe2_minus_stripe3,upper_half_minus_lower_half_price,vstripe1_minus_vstripe4,vstripe2_minus_vstripe3,left_half_minus_right_half_price,upper_right_minus_lower_right,lower_right_minus_upper_right,vol_left_minus_vol_right,vol_right_minus_vol_left
0,train,0,-0.002536295259751631,SiH4,2024-01-08 08:45:00,18615.0,-18615.0,13005.0,-13005.0,280755.0,-280755.0,-34680.0,34680.0,-84405.0,73950.0,-10455.0,44370.0,-25755.0,18615.0,-27030.0,27030.0,0.0,0.0
1,train,0,-0.001574217810525358,SiH4,2024-01-08 09:00:00,15300.0,-15300.0,6120.0,-6120.0,281520.0,-281520.0,-31875.0,31875.0,-91290.0,73950.0,-17340.0,44625.0,-29325.0,15300.0,-29070.0,29070.0,0.0,0.0
3,train,1,0.00205707282913159,SiH4,2024-01-08 09:30:00,10965.0,-10965.0,24225.0,-24225.0,292995.0,-292995.0,-27285.0,27285.0,-93075.0,111180.0,18105.0,46665.0,-35700.0,10965.0,-32640.0,32640.0,0.0,0.0
4,train,1,0.006291785663482541,SiH4,2024-01-08 09:45:00,16320.0,-16320.0,29070.0,-29070.0,309060.0,-309060.0,-27540.0,27540.0,-63240.0,90270.0,27030.0,49725.0,-33405.0,16320.0,-35700.0,35700.0,0.0,0.0
5,train,1,0.004579004175615742,SiH4,2024-01-08 10:00:00,9690.0,-9690.0,17340.0,-17340.0,323340.0,-323340.0,-18615.0,18615.0,-55335.0,71655.0,16320.0,43605.0,-33915.0,9690.0,-42330.0,42330.0,0.0,0.0
6,train,1,0.005012175546261544,SiH4,2024-01-08 10:15:00,7650.0,-7650.0,7140.0,-7140.0,324360.0,-324360.0,-11730.0,11730.0,-60180.0,66300.0,6120.0,42075.0,-34425.0,7650.0,-46665.0,46665.0,0.0,0.0
7,train,1,0.005465852061968146,SiH4,2024-01-08 10:30:00,4590.0,-4590.0,-510.0,510.0,323850.0,-323850.0,-8415.0,8415.0,-64260.0,62730.0,-1530.0,39015.0,-34425.0,4590.0,-49215.0,49215.0,0.0,0.0
8,train,1,0.004960155236506836,SiH4,2024-01-08 10:45:00,16575.0,-16575.0,-7395.0,7395.0,322575.0,-322575.0,-8925.0,8925.0,-67575.0,59160.0,-8415.0,37485.0,-20910.0,16575.0,-50745.0,50745.0,0.0,0.0
9,train,1,0.006317650139664899,SiH4,2024-01-08 11:00:00,18615.0,-18615.0,-14025.0,14025.0,324105.0,-324105.0,-7650.0,7650.0,-70125.0,55080.0,-15045.0,35955.0,-17340.0,18615.0,-52530.0,52530.0,0.0,0.0
10,train,1,0.006409557653316966,SiH4,2024-01-08 11:15:00,18870.0,-18870.0,-19890.0,19890.0,323340.0,-323340.0,-5610.0,5610.0,-73440.0,52530.0,-20910.0,34425.0,-15555.0,18870.0,-53805.0,53805.0,0.0,0.0
11,train,1,0.007076577509786075,SiH4,2024-01-08 11:30:00,17850.0,-17850.0,-24990.0,24990.0,327930.0,-327930.0,-4080.0,4080.0,-62730.0,36720.0,-26010.0,31875.0,-14025.0,17850.0,-56610.0,56610.0,0.0,0.0
12,train,1,0.007004069342468444,SiH4,2024-01-08 11:45:00,21165.0,-21165.0,-27285.0,27285.0,341955.0,-341955.0,-5610.0,5610.0,-40290.0,11985.0,-28305.0,31875.0,-10710.0,21165.0,-59670.0,59670.0,0.0,0.0
13,train,1,0.009626652356284682,SiH4,2024-01-08 12:00:00,14535.0,-14535.0,-39525.0,39525.0,346035.0,-346035.0,1530.0,-1530.0,-50235.0,9690.0,-40545.0,22695.0,-8160.0,14535.0,-66555.0,66555.0,0.0,0.0
14,train,1,0.012955643390426097,SiH4,2024-01-08 12:15:00,6375.0,-6375.0,-34935.0,34935.0,308295.0,-308295.0,6630.0,-6630.0,15555.0,-52530.0,-36975.0,10710.0,-4335.0,6375.0,-58650.0,58650.0,0.0,0.0
15,train,1,0.010955028456755667,SiH4,2024-01-08 12:30:00,4080.0,-4080.0,-43860.0,43860.0,306510.0,-306510.0,12495.0,-12495.0,9435.0,-55335.0,-45900.0,4590.0,-510.0,4080.0,-60435.0,60435.0,0.0,0.0
16,train,1,0.011613356457596868,SiH4,2024-01-08 12:45:00,5355.0,-5355.0,-49725.0,49725.0,306255.0,-306255.0,10200.0,-10200.0,4080.0,-55845.0,-51765.0,1785.0,3570.0,5355.0,-61710.0,61710.0,0.0,0.0
17,train,1,0.009100889230431397,SiH4,2024-01-08 13:00:00,6885.0,-6885.0,-51765.0,51765.0,308295.0,-308295.0,9945.0,-9945.0,2040.0,-56355.0,-54315.0,510.0,6375.0,6885.0,-60945.0,60945.0,0.0,0.0
18,train,1,0.009882311649282105,SiH4,2024-01-08 13:15:00,6885.0,-6885.0,-57885.0,57885.0,308805.0,-308805.0,8925.0,-8925.0,-3825.0,-56610.0,-60435.0,-2805.0,9690.0,6885.0,-62985.0,62985.0,0.0,0.0
19,train,1,0.009597350034550534,SiH4,2024-01-08 13:30:00,5865.0,-5865.0,-63495.0,63495.0,309315.0,-309315.0,8415.0,-8415.0,-9435.0,-56610.0,-66045.0,-5100.0,10965.0,5865.0,-63750.0,63750.0,0.0,0.0
20,train,1,0.009129767645769338,SiH4,2024-01-08 13:45:00,3825.0,-3825.0,-69615.0,69615.0,310335.0,-310335.0,3570.0,-3570.0,-15555.0,-56610.0,-72165.0,-8415.0,12240.0,3825.0,-66555.0,66555.0,0.0,0.0
21,train,1,0.007117048067447618,SiH4,2024-01-08 14:00:00,3825.0,-3825.0,-75735.0,75735.0,312375.0,-312375.0,765.0,-765.0,-20400.0,-57885.0,-78285.0,-11475.0,15300.0,3825.0,-66555.0,66555.0,0.0,0.0
22,train,1,0.005989463789975336,SiH4,2024-01-08 14:15:00,1020.0,-1020.0,-82110.0,82110.0,317220.0,-317220.0,4080.0,-4080.0,-18360.0,-67320.0,-85680.0,-19380.0,20400.0,1020.0,-68595.0,68595.0,0.0,0.0
23,train,1,0.004575234767416392,SiH4,2024-01-08 14:30:00,-5610.0,5610.0,-83130.0,83130.0,322320.0,-322320.0,7395.0,-7395.0,6630.0,-96390.0,-89760.0,-25755.0,20145.0,-5610.0,-61710.0,61710.0,0.0,0.0
24,train,1,0.001272236962289508,SiH4,2024-01-08 14:45:00,-14790.0,14790.0,-79050.0,79050.0,328950.0,-328950.0,11730.0,-11730.0,13260.0,-99960.0,-86700.0,-35700.0,20910.0,-14790.0,-53040.0,53040.0,0.0,0.0
25,train,0,-0.0011178277242981371,SiH4,2024-01-08 15:00:00,-17595.0,17595.0,-75735.0,75735.0,332775.0,-332775.0,14280.0,-14280.0,19635.0,-102000.0,-82365.0,-41310.0,23715.0,-17595.0,-40545.0,40545.0,0.0,0.0
26,train,1,0.0005541309922203475,SiH4,2024-01-08 15:15:00,-22185.0,22185.0,-73185.0,73185.0,335325.0,-335325.0,19125.0,-19125.0,19380.0,-99195.0,-79815.0,-47685.0,25500.0,-22185.0,-34935.0,34935.0,0.0,0.0
27,train,0,-0.000944000173609183,SiH4,2024-01-08 15:30:00,-26520.0,26520.0,-74460.0,74460.0,334050.0,-334050.0,23970.0,-23970.0,17085.0,-98175.0,-81090.0,-52785.0,26265.0,-26520.0,-28050.0,28050.0,0.0,0.0
28,train,0,-0.0019742694118413118,SiH4,2024-01-08 15:45:00,-29325.0,29325.0,-75225.0,75225.0,333285.0,-333285.0,21165.0,-21165.0,16320.0,-98175.0,-81855.0,-56610.0,27285.0,-29325.0,-24990.0,24990.0,0.0,0.0
29,train,0,-0.0016914786342394628,SiH4,2024-01-08 16:00:00,-31110.0,31110.0,-74970.0,74970.0,333540.0,-333540.0,20145.0,-20145.0,16575.0,-98175.0,-81600.0,-59670.0,28560.0,-31110.0,-21930.0,21930.0,0.0,0.0
30,train,0,-0.0024261854732144927,SiH4,2024-01-08 16:15:00,-29325.0,29325.0,-72675.0,72675.0,335835.0,-335835.0,21930.0,-21930.0,18870.0,-98175.0,-79305.0,-63240.0,33915.0,-29325.0,-16830.0,16830.0,0.0,0.0
31,train,0,-0.002912516240796914,SiH4,2024-01-08 16:30:00,-26775.0,26775.0,-75735.0,75735.0,336345.0,-336345.0,25500.0,-25500.0,7650.0,-91035.0,-83385.0,-62985.0,36210.0,-26775.0,-14280.0,14280.0,0.0,0.0
32,train,0,-0.002253447883600712,SiH4,2024-01-08 16:45:00,-24735.0,24735.0,-75225.0,75225.0,336855.0,-336855.0,27285.0,-27285.0,8160.0,-91035.0,-82875.0,-65535.0,40800.0,-24735.0,-9435.0,9435.0,0.0,0.0
33,train,0,-0.0016921942118279798,SiH4,2024-01-08 17:00:00,-27285.0,27285.0,-73695.0,73695.0,338385.0,-338385.0,30600.0,-30600.0,9690.0,-91035.0,-81345.0,-68595.0,41310.0,-27285.0,3060.0,-3060.0,0.0,0.0
34,train,0,-0.0026013440277476985,SiH4,2024-01-08 17:15:00,-29580.0,29580.0,-73950.0,73950.0,338130.0,-338130.0,33660.0,-33660.0,9180.0,-90780.0,-81600.0,-67575.0,37995.0,-29580.0,12750.0,-12750.0,0.0,0.0
35,train,0,-0.0017789348085475165,SiH4,2024-01-08 17:30:00,-32130.0,32130.0,-74460.0,74460.0,337620.0,-337620.0,34680.0,-34680.0,8415.0,-90525.0,-82110.0,-61455.0,29325.0,-32130.0,19380.0,-19380.0,0.0,0.0
36,train,0,-0.0015733506944444198,SiH4,2024-01-08 17:45:00,-29325.0,29325.0,-76245.0,76245.0,335835.0,-335835.0,35190.0,-35190.0,7140.0,-91035.0,-83895.0,-58395.0,29070.0,-29325.0,24735.0,-24735.0,0.0,0.0
37,train,1,0.0012184640825074755,SiH4,2024-01-08 18:00:00,-32130.0,32130.0,-72930.0,72930.0,339150.0,-339150.0,37230.0,-37230.0,6885.0,-87465.0,-80580.0,-59670.0,27540.0,-32130.0,33405.0,-33405.0,0.0,0.0
38,train,0,-0.000673371418641544,SiH4,2024-01-08 18:15:00,-34680.0,34680.0,-71910.0,71910.0,340170.0,-340170.0,39270.0,-39270.0,6375.0,-85935.0,-79560.0,-54315.0,19635.0,-34680.0,40800.0,-40800.0,0.0,0.0
41,train,0,-0.012802817054482607,SiH4,2024-01-09 08:45:00,-36975.0,36975.0,-68085.0,68085.0,343995.0,-343995.0,-32640.0,32640.0,-20400.0,-55335.0,-75735.0,27285.0,-64260.0,-36975.0,33405.0,-33405.0,0.0,0.0
42,train,0,-0.010797866550560586,SiH4,2024-01-09 09:00:00,-40290.0,40290.0,-66810.0,66810.0,345270.0,-345270.0,-30090.0,30090.0,-22950.0,-51510.0,-74460.0,28815.0,-69105.0,-40290.0,34935.0,-34935.0,0.0,0.0
43,train,0,-0.011132391668661756,SiH4,2024-01-09 09:15:00,-38760.0,38760.0,-65280.0,65280.0,346800.0,-346800.0,-29580.0,29580.0,-24990.0,-47940.0,-72930.0,31365.0,-70125.0,-38760.0,36720.0,-36720.0,0.0,0.0
44,train,0,-0.009779258823657488,SiH4,2024-01-09 09:30:00,-42585.0,42585.0,-67065.0,67065.0,345015.0,-345015.0,-24480.0,24480.0,-30090.0,-44625.0,-74715.0,28050.0,-70635.0,-42585.0,37995.0,-37995.0,0.0,0.0
45,train,0,-0.011048642300205525,SiH4,2024-01-09 09:45:00,-33915.0,33915.0,-66555.0,66555.0,345525.0,-345525.0,-20145.0,20145.0,-31875.0,-42330.0,-74205.0,24480.0,-58395.0,-33915.0,40290.0,-40290.0,0.0,0.0
46,train,0,-0.011237423232719146,SiH4,2024-01-09 10:00:00,-32385.0,32385.0,-65535.0,65535.0,346545.0,-346545.0,-16065.0,16065.0,-31875.0,-41310.0,-73185.0,22185.0,-54570.0,-32385.0,43605.0,-43605.0,0.0,0.0
47,train,0,-0.009365380836990012,SiH4,2024-01-09 10:15:00,-32385.0,32385.0,-68085.0,68085.0,348585.0,-348585.0,-12750.0,12750.0,-31875.0,-44370.0,-76245.0,22695.0,-55080.0,-32385.0,42330.0,-42330.0,0.0,0.0
48,train,0,-0.00941853620249855,SiH4,2024-01-09 10:30:00,-39780.0,39780.0,-67830.0,67830.0,343230.0,-343230.0,-3825.0,3825.0,-31875.0,-44625.0,-76500.0,15555.0,-55335.0,-39780.0,38760.0,-38760.0,0.0,0.0
49,train,0,-0.009055796801012539,SiH4,2024-01-09 10:45:00,-39270.0,39270.0,-64260.0,64260.0,342720.0,-342720.0,1020.0,-1020.0,-31875.0,-42075.0,-73950.0,11220.0,-50490.0,-39270.0,35955.0,-35955.0,0.0,0.0
50,train,0,-0.007227282170152782,SiH4,2024-01-09 11:00:00,-41055.0,41055.0,-66045.0,66045.0,344505.0,-344505.0,3570.0,-3570.0,-31875.0,-43860.0,-75735.0,9435.0,-50490.0,-41055.0,30090.0,-30090.0,0.0,0.0
51,train,0,-0.00851608107221724,SiH4,2024-01-09 11:15:00,-43605.0,43605.0,-68085.0,68085.0,346545.0,-346545.0,7650.0,-7650.0,-32130.0,-45645.0,-77775.0,6630.0,-50235.0,-43605.0,23715.0,-23715.0,0.0,0.0
52,train,0,-0.011489352398443287,SiH4,2024-01-09 11:30:00,-45135.0,45135.0,-66555.0,66555.0,345015.0,-345015.0,10455.0,-10455.0,-32130.0,-44115.0,-76245.0,4335.0,-49470.0,-45135.0,20145.0,-20145.0,0.0,0.0
53,train,0,-0.008060728523838101,SiH4,2024-01-09 11:45:00,-35700.0,35700.0,-66810.0,66810.0,345270.0,-345270.0,12750.0,-12750.0,-32130.0,-44370.0,-76500.0,1785.0,-37485.0,-35700.0,15045.0,-15045.0,0.0,0.0
54,train,0,-0.008579100176821175,SiH4,2024-01-09 12:00:00,-29835.0,29835.0,-67575.0,67575.0,346035.0,-346035.0,15300.0,-15300.0,-32130.0,-45135.0,-77265.0,-765.0,-29070.0,-29835.0,9945.0,-9945.0,0.0,0.0
55,train,0,-0.007482606222377841,SiH4,2024-01-09 12:15:00,-29835.0,29835.0,-68085.0,68085.0,346545.0,-346545.0,16575.0,-16575.0,-32130.0,-45645.0,-77775.0,-5100.0,-24735.0,-29835.0,4335.0,-4335.0,0.0,0.0
56,train,0,-0.005488907148726407,SiH4,2024-01-09 12:30:00,-30600.0,30600.0,-67830.0,67830.0,346290.0,-346290.0,18615.0,-18615.0,-33660.0,-43860.0,-77520.0,-8925.0,-21675.0,-30600.0,0.0,0.0,0.0,0.0
57,train,0,-0.005756705190903322,SiH4,2024-01-09 12:45:00,-29070.0,29070.0,-67830.0,67830.0,346290.0,-346290.0,15555.0,-15555.0,-36210.0,-41310.0,-77520.0,-11730.0,-17340.0,-29070.0,-3825.0,3825.0,0.0,0.0
58,train,0,-0.005512993347143169,SiH4,2024-01-09 13:00:00,-28050.0,28050.0,-67320.0,67320.0,345780.0,-345780.0,15045.0,-15045.0,-39015.0,-37995.0,-77010.0,-14790.0,-13260.0,-28050.0,-7905.0,7905.0,0.0,0.0
59,train,0,-0.0031703196647578924,SiH4,2024-01-09 13:15:00,-27795.0,27795.0,-68595.0,68595.0,347055.0,-347055.0,14535.0,-14535.0,-42585.0,-35700.0,-78285.0,-16575.0,-11220.0,-27795.0,-12750.0,12750.0,0.0,0.0
60,train,1,0.0007919223916055262,SiH4,2024-01-09 13:30:00,-25245.0,25245.0,-54315.0,54315.0,335835.0,-335835.0,15045.0,-15045.0,-19380.0,-41565.0,-60945.0,-19380.0,-5865.0,-25245.0,-16065.0,16065.0,0.0,0.0
61,train,1,0.0017174374951833826,SiH4,2024-01-09 13:45:00,-24225.0,24225.0,-4845.0,4845.0,318495.0,-318495.0,12240.0,-12240.0,12240.0,-27285.0,-15045.0,-21675.0,-2550.0,-24225.0,-9945.0,9945.0,0.0,0.0
62,train,1,0.0006272145073615842,SiH4,2024-01-09 14:00:00,-20145.0,20145.0,8415.0,-8415.0,313395.0,-313395.0,10710.0,-10710.0,16830.0,-23205.0,-6375.0,-22440.0,2295.0,-20145.0,-10965.0,10965.0,0.0,0.0
63,train,1,0.00250905129249146,SiH4,2024-01-09 14:15:00,-20910.0,20910.0,15810.0,-15810.0,312120.0,-312120.0,10455.0,-10455.0,18615.0,-13515.0,5100.0,-25245.0,4335.0,-20910.0,-16575.0,16575.0,0.0,0.0
64,train,1,0.001594650771481021,SiH4,2024-01-09 14:30:00,-10965.0,10965.0,15045.0,-15045.0,312885.0,-312885.0,9690.0,-9690.0,16320.0,-11985.0,4335.0,-26520.0,15555.0,-10965.0,-22185.0,22185.0,0.0,0.0
65,train,1,0.001858347719950304,SiH4,2024-01-09 14:45:00,-5610.0,5610.0,14790.0,-14790.0,312120.0,-312120.0,7650.0,-7650.0,14790.0,-9690.0,5100.0,-27540.0,21930.0,-5610.0,-27540.0,27540.0,0.0,0.0
66,train,1,0.0032928064842958626,SiH4,2024-01-09 15:00:00,-765.0,765.0,10455.0,-10455.0,312885.0,-312885.0,6630.0,-6630.0,11985.0,-10200.0,1785.0,-30090.0,29325.0,-765.0,-34680.0,34680.0,0.0,0.0
67,train,1,0.003823438670721435,SiH4,2024-01-09 15:15:00,1020.0,-1020.0,6120.0,-6120.0,313650.0,-313650.0,7395.0,-7395.0,9435.0,-11475.0,-2040.0,-31620.0,32640.0,1020.0,-41055.0,41055.0,0.0,0.0
68,train,1,0.002101903818642059,SiH4,2024-01-09 15:30:00,255.0,-255.0,9435.0,-9435.0,312885.0,-312885.0,9690.0,-9690.0,10455.0,-12240.0,-1785.0,-34935.0,35190.0,255.0,-45390.0,45390.0,0.0,0.0
69,train,1,0.0018387210428960632,SiH4,2024-01-09 15:45:00,255.0,-255.0,3825.0,-3825.0,314415.0,-314415.0,11475.0,-11475.0,6885.0,-14280.0,-7395.0,-36975.0,37230.0,255.0,-52275.0,52275.0,0.0,0.0
70,train,1,0.0017070860591643644,SiH4,2024-01-09 16:00:00,2040.0,-2040.0,-1020.0,1020.0,313140.0,-313140.0,13260.0,-13260.0,4335.0,-16065.0,-11730.0,-40800.0,42840.0,2040.0,-54060.0,54060.0,0.0,0.0
71,train,1,0.0031093224543801146,SiH4,2024-01-09 16:15:00,4080.0,-4080.0,1020.0,-1020.0,309570.0,-309570.0,15810.0,-15810.0,6630.0,-14790.0,-8160.0,-42585.0,46665.0,4080.0,-52020.0,52020.0,0.0,0.0
72,train,1,0.00567320984241082,SiH4,2024-01-09 16:30:00,2550.0,-2550.0,47430.0,-47430.0,288150.0,-288150.0,18870.0,-18870.0,31620.0,4080.0,35700.0,-41055.0,43605.0,2550.0,-41310.0,41310.0,0.0,0.0
73,train,1,0.0009029146525429965,SiH4,2024-01-09 16:45:00,1020.0,-1020.0,40290.0,-40290.0,290700.0,-290700.0,22950.0,-22950.0,29070.0,2550.0,31620.0,-42585.0,43605.0,1020.0,-48960.0,48960.0,0.0,0.0
74,train,1,0.0011559802712699518,SiH4,2024-01-09 17:00:00,2295.0,-2295.0,35955.0,-35955.0,290955.0,-290955.0,22950.0,-22950.0,26775.0,510.0,27285.0,-41820.0,44115.0,2295.0,-54060.0,54060.0,0.0,0.0
75,train,1,0.0022043911471651967,SiH4,2024-01-09 17:15:00,2550.0,-2550.0,32130.0,-32130.0,292230.0,-292230.0,22185.0,-22185.0,23970.0,510.0,24480.0,-36465.0,39015.0,2550.0,-58395.0,58395.0,0.0,0.0
76,train,1,0.002159208583955685,SiH4,2024-01-09 17:30:00,-765.0,765.0,30855.0,-30855.0,292485.0,-292485.0,24990.0,-24990.0,21165.0,3060.0,24225.0,-35445.0,34680.0,-765.0,-59415.0,59415.0,0.0,0.0
77,train,1,0.003253449207592185,SiH4,2024-01-09 17:45:00,2805.0,-2805.0,29835.0,-29835.0,293505.0,-293505.0,24990.0,-24990.0,18360.0,4845.0,23205.0,-33660.0,36465.0,2805.0,-60435.0,60435.0,0.0,0.0
78,train,1,0.0038573443837066623,SiH4,2024-01-09 18:00:00,5100.0,-5100.0,29580.0,-29580.0,293760.0,-293760.0,24225.0,-24225.0,16320.0,6630.0,22950.0,-32130.0,37230.0,5100.0,-60435.0,60435.0,0.0,0.0
79,train,1,0.0029933200541438776,SiH4,2024-01-09 18:15:00,4335.0,-4335.0,27285.0,-27285.0,296055.0,-296055.0,26010.0,-26010.0,13260.0,7395.0,20655.0,-30855.0,35190.0,4335.0,-61455.0,61455.0,0.0,0.0
80,train,1,0.0014946697439279788,SiH4,2024-01-09 18:30:00,4335.0,-4335.0,26775.0,-26775.0,296565.0,-296565.0,27540.0,-27540.0,12495.0,7650.0,20145.0,-30090.0,34425.0,4335.0,-60180.0,60180.0,0.0,0.0
81,train,1,0.0007803141039026684,SiH4,2024-01-09 18:45:00,4590.0,-4590.0,27030.0,-27030.0,296310.0,-296310.0,26775.0,-26775.0,12495.0,7905.0,20400.0,-27795.0,32385.0,4590.0,-59160.0,59160.0,0.0,0.0
82,train,0,-0.0011867088607594445,SiH4,2024-01-10 08:45:00,3060.0,-3060.0,10200.0,-10200.0,302940.0,-302940.0,-23205.0,23205.0,10200.0,-6120.0,4080.0,33660.0,-30600.0,3060.0,-32895.0,32895.0,0.0,0.0
83,train,1,0.0010572803665238606,SiH4,2024-01-10 09:00:00,1020.0,-1020.0,5100.0,-5100.0,304470.0,-304470.0,-20400.0,20400.0,7650.0,-8160.0,-510.0,36720.0,-35700.0,1020.0,-34425.0,34425.0,0.0,0.0
84,train,1,0.0020597435784464047,SiH4,2024-01-10 09:15:00,2550.0,-2550.0,4590.0,-4590.0,304980.0,-304980.0,-20655.0,20655.0,5355.0,-6375.0,-1020.0,37230.0,-34680.0,2550.0,-35700.0,35700.0,0.0,0.0
85,train,1,0.0027019277427322574,SiH4,2024-01-10 09:30:00,255.0,-255.0,-255.0,255.0,301155.0,-301155.0,-16575.0,16575.0,2805.0,-8160.0,-5355.0,33405.0,-33150.0,255.0,-36465.0,36465.0,0.0,0.0
86,train,1,0.003431496949167556,SiH4,2024-01-10 09:45:00,1275.0,-1275.0,-6885.0,6885.0,299625.0,-299625.0,-14535.0,14535.0,255.0,-12240.0,-11985.0,32130.0,-30855.0,1275.0,-37995.0,37995.0,0.0,0.0
87,train,0,-0.003199278788012072,SiH4,2024-01-10 10:00:00,-510.0,510.0,-15810.0,15810.0,302940.0,-302940.0,-10455.0,10455.0,-4590.0,-16320.0,-20910.0,30090.0,-30600.0,-510.0,-42840.0,42840.0,0.0,0.0
88,train,0,-0.001419547945506916,SiH4,2024-01-10 10:15:00,1275.0,-1275.0,-20655.0,20655.0,303705.0,-303705.0,-9435.0,9435.0,-5865.0,-19890.0,-25755.0,30345.0,-29070.0,1275.0,-44115.0,44115.0,0.0,0.0
89,train,1,0.001002456569395349,SiH4,2024-01-10 10:30:00,0.0,0.0,-27540.0,27540.0,303960.0,-303960.0,-9945.0,9945.0,-8415.0,-24225.0,-32640.0,29070.0,-29070.0,0.0,-45390.0,45390.0,0.0,0.0
90,train,1,0.0009358141583177826,SiH4,2024-01-10 10:45:00,2805.0,-2805.0,-31365.0,31365.0,303705.0,-303705.0,-11730.0,11730.0,-10200.0,-26265.0,-36465.0,30090.0,-27285.0,2805.0,-45135.0,45135.0,0.0,0.0
91,train,1,0.002303182579564522,SiH4,2024-01-10 11:00:00,5610.0,-5610.0,-35700.0,35700.0,303960.0,-303960.0,-13260.0,13260.0,-12495.0,-28305.0,-40800.0,29070.0,-23460.0,5610.0,-46155.0,46155.0,0.0,0.0
92,train,1,0.004999503360593405,SiH4,2024-01-10 11:15:00,4845.0,-4845.0,-40545.0,40545.0,305235.0,-305235.0,-12240.0,12240.0,-15555.0,-30090.0,-45645.0,29325.0,-24480.0,4845.0,-47430.0,47430.0,0.0,0.0
93,train,1,0.0041780119718233255,SiH4,2024-01-10 11:30:00,765.0,-765.0,-43605.0,43605.0,302175.0,-302175.0,-8670.0,8670.0,-18360.0,-29835.0,-48195.0,25245.0,-24480.0,765.0,-48960.0,48960.0,0.0,0.0
94,train,1,0.004579310344827503,SiH4,2024-01-10 11:45:00,-1020.0,1020.0,-41820.0,41820.0,300390.0,-300390.0,-5865.0,5865.0,-21165.0,-25245.0,-46410.0,21165.0,-22185.0,-1020.0,-50235.0,50235.0,0.0,0.0
95,train,1,0.000736037263259659,SiH4,2024-01-10 12:00:00,-3570.0,3570.0,-44370.0,44370.0,302940.0,-302940.0,-2295.0,2295.0,-24735.0,-24225.0,-48960.0,15810.0,-19380.0,-3570.0,-54060.0,54060.0,0.0,0.0
96,train,1,0.0007139326706573357,SiH4,2024-01-10 12:15:00,-3315.0,3315.0,-44115.0,44115.0,302685.0,-302685.0,-3060.0,3060.0,-24735.0,-23970.0,-48705.0,13770.0,-17085.0,-3315.0,-54825.0,54825.0,0.0,0.0
97,train,1,0.0013188117506126584,SiH4,2024-01-10 12:30:00,-4845.0,4845.0,-44115.0,44115.0,302685.0,-302685.0,-1530.0,1530.0,-24735.0,-23970.0,-48705.0,11220.0,-16065.0,-4845.0,-56100.0,56100.0,0.0,0.0
99,train,1,0.002232805745900013,SiH4,2024-01-10 13:00:00,-4080.0,4080.0,-41820.0,41820.0,300390.0,-300390.0,-6630.0,6630.0,-24735.0,-21675.0,-46410.0,9945.0,-14025.0,-4080.0,-54825.0,54825.0,0.0,0.0
100,train,1,0.0009565590262887724,SiH4,2024-01-10 13:15:00,-765.0,765.0,-40545.0,40545.0,299115.0,-299115.0,-7140.0,7140.0,-24990.0,-20145.0,-45135.0,9180.0,-9945.0,-765.0,-54825.0,54825.0,0.0,0.0
101,train,1,0.001562328088898779,SiH4,2024-01-10 13:30:00,-1020.0,1020.0,-39780.0,39780.0,297840.0,-297840.0,-6120.0,6120.0,-26010.0,-17850.0,-43860.0,6630.0,-7650.0,-1020.0,-55080.0,55080.0,0.0,0.0
102,train,1,0.0019031903190318555,SiH4,2024-01-10 13:45:00,1020.0,-1020.0,-41310.0,41310.0,296310.0,-296310.0,-11730.0,11730.0,-27030.0,-17850.0,-44880.0,5100.0,-4080.0,1020.0,-55845.0,55845.0,0.0,0.0
103,train,1,0.0016612574949117498,SiH4,2024-01-10 14:00:00,4335.0,-4335.0,-45135.0,45135.0,295035.0,-295035.0,-13770.0,13770.0,-28050.0,-20655.0,-48705.0,4335.0,0.0,4335.0,-52785.0,52785.0,0.0,0.0
105,train,1,0.0012758328658946105,SiH4,2024-01-10 14:30:00,-1785.0,1785.0,-58395.0,58395.0,288915.0,-288915.0,-10200.0,10200.0,-31620.0,-30345.0,-61965.0,-3315.0,1530.0,-1785.0,-51255.0,51255.0,0.0,0.0
106,train,1,0.0011325900024190538,SiH4,2024-01-10 14:45:00,-2040.0,2040.0,-64260.0,64260.0,286110.0,-286110.0,-8415.0,8415.0,-35445.0,-32385.0,-67830.0,-6630.0,4590.0,-2040.0,-50235.0,50235.0,0.0,0.0
107,train,1,0.0034521931904663017,SiH4,2024-01-10 15:00:00,-4590.0,4590.0,-71400.0,71400.0,288150.0,-288150.0,-6375.0,6375.0,-41310.0,-33660.0,-74970.0,-11475.0,6885.0,-4590.0,-48705.0,48705.0,0.0,0.0
108,train,1,0.0031076092346686846,SiH4,2024-01-10 15:15:00,-3825.0,3825.0,-77265.0,77265.0,288915.0,-288915.0,-5100.0,5100.0,-47175.0,-33660.0,-80835.0,-13770.0,9945.0,-3825.0,-49215.0,49215.0,0.0,0.0
109,train,1,0.0016947660342474524,SiH4,2024-01-10 15:30:00,-3570.0,3570.0,-83130.0,83130.0,289170.0,-289170.0,-4080.0,4080.0,-52530.0,-34170.0,-86700.0,-16575.0,13005.0,-3570.0,-48705.0,48705.0,0.0,0.0
